audio,text
data/raw/350347.wav,यह एक डमी वाक्य है 350347
data/raw/351501.wav,यह एक डमी वाक्य है 351501
data/raw/319431.wav,यह एक डमी वाक्य है 319431
data/raw/523045.wav,यह एक डमी वाक्य है 523045
data/raw/978393.wav,यह एक डमी वाक्य है 978393
data/raw/990175.wav,यह एक डमी वाक्य है 990175
data/raw/243702.wav,यह एक डमी वाक्य है 243702
data/raw/522951.wav,यह एक डमी वाक्य है 522951
data/raw/305347.wav,यह एक डमी वाक्य है 305347
data/raw/840793.wav,यह एक डमी वाक्य है 840793
data/raw/270296.wav,यह एक डमी वाक्य है 270296
data/raw/301080.wav,यह एक डमी वाक्य है 301080
data/raw/1020918.wav,यह एक डमी वाक्य है 1020918
data/raw/825727.wav,यह एक डमी वाक्य है 825727
data/raw/301057.wav,यह एक डमी वाक्य है 301057
data/raw/366972.wav,यह एक डमी वाक्य है 366972
data/raw/255349.wav,यह एक डमी वाक्य है 255349
data/raw/400503.wav,यह एक डमी वाक्य है 400503
data/raw/629868.wav,यह एक डमी वाक्य है 629868
data/raw/635909.wav,यह एक डमी वाक्य है 635909
data/raw/520199.wav,यह एक डमी वाक्य है 520199
data/raw/272241.wav,यह एक डमी वाक्य है 272241
data/raw/767685.wav,यह एक डमी वाक्य है 767685
data/raw/583544.wav,यह एक डमी वाक्य है 583544
data/raw/443952.wav,यह एक डमी वाक्य है 443952
data/raw/840781.wav,यह एक डमी वाक्य है 840781
data/raw/367249.wav,यह एक डमी वाक्य है 367249
data/raw/239492.wav,यह एक डमी वाक्य है 239492
data/raw/526266.wav,यह एक डमी वाक्य है 526266
data/raw/583552.wav,यह एक डमी वाक्य है 583552
data/raw/798121.wav,यह एक डमी वाक्य है 798121
data/raw/584003.wav,यह एक डमी वाक्य है 584003
data/raw/365059.wav,यह एक डमी वाक्य है 365059
data/raw/270291.wav,यह एक डमी वाक्य है 270291
data/raw/270037.wav,यह एक डमी वाक्य है 270037
data/raw/302503.wav,यह एक डमी वाक्य है 302503
data/raw/444282.wav,यह एक डमी वाक्य है 444282
data/raw/645534.wav,यह एक डमी वाक्य है 645534
data/raw/542785.wav,यह एक डमी वाक्य है 542785
data/raw/630221.wav,यह एक डमी वाक्य है 630221
data/raw/989901.wav,यह एक डमी वाक्य है 989901
data/raw/583533.wav,यह एक डमी वाक्य है 583533
data/raw/270150.wav,यह एक डमी वाक्य है 270150
data/raw/978484.wav,यह एक डमी वाक्य है 978484
